id;Name;lon;lat;District;station_name;RouteNumbers
143;«Онежская ул., 19», Онежская улица (143);37.51918742;55.85154723;Головинский район;Онежская ул., 19;А90
13452;«Метро Речной вокзал», Фестивальная улица (13452);37.47664062;55.85456524;район Левобережный;Метро Речной вокзал;А90
140;«Фестивальная ул.», Онежская улица (140);37.50594619;55.86137424;район Ховрино;Фестивальная ул.;А90
141;«Флотская ул.», Онежская улица (141);37.50941753;55.85883776;район Ховрино;Флотская ул.;А90
136;«15-й таксомоторный парк», Петрозаводская улица (136);37.48607811;55.86682693;район Ховрино;15-й таксомоторный парк;А90
16481;«Бирюлевский дендропарк», Липецкая улица (16481);37.67303585;55.5935669;район Бирюлёво Восточное;Бирюлевский дендропарк;А901
16427;«Метро ВДНХ», проспект Мира (16427);37.64026348;55.82065065;Останкинский район;Метро ВДНХ;А903
1816;«Детская п-ка», Ярославское шоссе (1816);37.71271014;55.87189317;Ярославский район;Детская п-ка;А903
1818;«Ул. Егора Абакумова», Ярославское шоссе (1818);37.72026831;55.87847823;Ярославский район;Ул. Егора Абакумова;А903
2760;«Холмогорская ул. (пос.)», Холмогорская улица (2760);37.7203647;55.8792907;Ярославский район;Холмогорская ул. (пос.);А903
10072;«Холмогорская ул. (к/ст, выс.)», Холмогорская улица (10072);37.7214533;55.88032284;Ярославский район;Холмогорская ул. (к/ст, выс.);А903
16426;«Рижский вокзал», проспект Мира (16426);37.63497029;55.79311528;Мещанский район;Рижский вокзал;А903
1002646;«Метро Алексеевская», проспект Мира (1002646);37.63771098;55.80874014;Алексеевский район;Метро Алексеевская;А903
378;«Ул. Серегина», Ленинградский проспект (378);37.54485023;55.79420677;Хорошёвский район;Ул. Серегина;А905
1010;«Метро Аэропорт (сев.) - Финансовый университет», Ленинградский проспект (1010);37.52920697;55.8008287;Хорошёвский район;Метро Аэропорт (сев.) - Финансовый университет;А905
1007;«Метро Сокол», Ленинградский проспект (1007);37.51506461;55.80451909;район Сокол;Метро Сокол;А905
835;«Гидропроект», Ленинградское шоссе (835);37.50682869;55.80863421;район Сокол;Гидропроект;А905
871;«Гидропроект», Ленинградское шоссе (871);37.50614997;55.8083012;район Сокол;Гидропроект;А905
17250;«75-й километр МКАД», Ленинградское шоссе (17250);37.44421348;55.87764044;район Левобережный;75-й километр МКАД;А905
17255;«75-й км. МКАД», Ленинградское шоссе (17255);37.44409938;55.87809141;район Левобережный;75-й км. МКАД;А905
17256;«ТЦ Метро», Ленинградское шоссе (17256);37.44717313;55.87757384;район Левобережный;ТЦ Метро;А905
17251;«75-й км. МКАД», Ленинградское шоссе (17251);37.44337111;55.87753171;район Левобережный;75-й км. МКАД;А905
837;«Театральный зал Лебедь», Ленинградское шоссе (837);37.48929164;55.82994777;Войковский район;Театральный зал Лебедь;А905
868;«Театральный зал Лебедь», Ленинградское шоссе (868);37.48885189;55.82938457;Войковский район;Театральный зал Лебедь;А905
1685;«Канал им. Москвы», Ленинградское шоссе (1685);37.46207598;55.86773538;район Левобережный;Канал им. Москвы;А905
1553;«Химкинская б-ца», Ленинградское шоссе (1553);37.44900266;55.87874428;район Левобережный;Химкинская б-ца;А905
1548;«Химкинская б-ца», Ленинградское шоссе (1548);37.44809228;55.87867959;район Левобережный;Химкинская б-ца;А905
8406;«Беломорская ул.», Ленинградское шоссе (8406);37.46417245;55.86470719;район Левобережный;Беломорская ул.;А905
9118;«Беломорская ул.», Ленинградское шоссе (9118);37.46391541;55.86407204;район Левобережный;Беломорская ул.;А905
842;«Северный речной вокзал», Ленинградское шоссе (842);37.4727725;55.85212538;район Левобережный;Северный речной вокзал;А905
386;«Ул. Серегина», Ленинградский проспект (386);37.54602831;55.79485212;район Аэропорт;Ул. Серегина;А905
387;«МАДИ - Финансовый университет», Ленинградский проспект (387);37.52963278;55.80157684;район Аэропорт;МАДИ - Финансовый университет;А905
1018;«Метро Динамо», Ленинградский проспект (1018);37.55717511;55.78989683;район Аэропорт;Метро Динамо;А905
869;«Метро Войковская», Ленинградское шоссе (869);37.49638109;55.82038454;Войковский район;Метро Войковская;А905
861;«Канал им. Москвы», Ленинградское шоссе (861);37.46136109;55.86758488;район Левобережный;Канал им. Москвы;А905
863;«Северный речной вокзал», Ленинградское шоссе (863);37.47218297;55.85188661;район Левобережный;Северный речной вокзал;А905
834;«Метро Сокол», Ленинградский проспект (834);37.51437202;55.80551451;район Аэропорт;Метро Сокол;А905
1000412;«1-й мкр. Щербинки (к/ст)», улица Брусилова (1000412);37.57321213;55.5007586;район Южное Бутово;1-й мкр. Щербинки (к/ст);А906
3270;«Хлебозаводский пр.», Каширское шоссе (3270);37.62867244;55.66747492;район Нагатино-Садовники;Хлебозаводский пр.;А907
3042;«Стадион Труд», Варшавское шоссе (3042);37.62106257;55.69640401;Донской район;Стадион Труд;А907
3528;«Стадион Труд», Варшавское шоссе (3528);37.62028972;55.69676373;Донской район;Стадион Труд;А907
7383;«Метро Каширская», Каширское шоссе (7383);37.65054593;55.6540411;район Москворечье-Сабурово;Метро Каширская;А907
18285;«Метро Домодедовская», Каширское шоссе (18285);37.71833516;55.60971853;район Орехово-Борисово Южное;Метро Домодедовская;А907
1001790;«Метро Добрынинская (выс., пос.)», Большая Серпуховская улица (1001790);37.62428644;55.72911193;район Замоскворечье;Метро Добрынинская (выс., пос.);А907
3526;«Метро Тульская (сев.)», Большая Тульская улица (3526);37.62151148;55.71032494;Даниловский район;Метро Тульская (сев.);А907
1001929;«Метро Добрынинская», Люсиновская улица (1001929);37.62329099;55.72852104;район Замоскворечье;Метро Добрынинская;А907
3267;«Хлебозаводский пр.», Каширское шоссе (3267);37.62934951;55.66772971;район Нагатино-Садовники;Хлебозаводский пр.;А907
3040;«Метро Нагатинская», Варшавское шоссе (3040);37.62357841;55.68441771;район Нагатино-Садовники;Метро Нагатинская;А907
3041;«МЦК Верхние Котлы», Варшавское шоссе (3041);37.62171054;55.68969014;Нагорный район;МЦК Верхние Котлы;А907
3069;«Метро Нагатинская», Варшавское шоссе (3069);37.62293301;55.68423237;Нагорный район;Метро Нагатинская;А907
3045;«Метро Тульская (сев.)», Большая Тульская улица (3045);37.62215703;55.71026532;Даниловский район;Метро Тульская (сев.);А907
3523;«МЦК Верхние Котлы», Варшавское шоссе (3523);37.62231566;55.68972473;район Нагатино-Садовники;МЦК Верхние Котлы;А907
1000805;«Метро Филевский парк», Минская улица (1000805);37.48359215;55.73894565;район Фили-Давыдково;Метро Филевский парк;А908
4902;«Ленинский просп.», Ломоносовский проспект (4902);37.54411362;55.68889422;Гагаринский район;Ленинский просп.;А908
4893;«Ленинский просп.», Ломоносовский проспект (4893);37.54377134;55.68867271;Гагаринский район;Ленинский просп.;А908
5457;«Метро Университет», Ломоносовский проспект (5457);37.53699175;55.69260894;Гагаринский район;Метро Университет;А908
1000508;«Черемушкинский рынок», Ломоносовский проспект (1000508);37.55134272;55.68472175;Гагаринский район;Черемушкинский рынок;А908
4894;«Черемушкинский рынок», Ломоносовский проспект (4894);37.55088954;55.68463876;Гагаринский район;Черемушкинский рынок;А908
4898;«Метро Профсоюзная», Нахимовский проспект (4898);37.5654585;55.67730509;Академический район;Метро Профсоюзная;А908
3271;«Библиотека им. Льва Толстого», Каширское шоссе (3271);37.6344226;55.6614063;район Нагатино-Садовники;Библиотека им. Льва Толстого;А908
3266;«Библиотека им. Льва Толстого», Каширское шоссе (3266);37.63455878;55.66185033;район Нагатино-Садовники;Библиотека им. Льва Толстого;А908
5454;«Метро Ломоносовский проспект», Ломоносовский проспект (5454);37.51490897;55.70526005;район Раменки;Метро Ломоносовский проспект;А908
11336;«Библиотека МГУ», Ломоносовский проспект (11336);37.52571256;55.69946635;район Раменки;Библиотека МГУ;А908
11335;«Библиотека МГУ», Ломоносовский проспект (11335);37.52418195;55.69993824;район Раменки;Библиотека МГУ;А908
5446;«Метро Университет», Ломоносовский проспект (5446);37.53555409;55.69405484;район Раменки;Метро Университет;А908
1001598;«Метро Минская», Минская улица (1001598);37.49787986;55.72322607;район Фили-Давыдково;Метро Минская;А908
1001599;«Метро Минская», Минская улица (1001599);37.49837584;55.72331808;район Дорогомилово;Метро Минская;А908
3204;«Метро Нахимовский просп.», Нахимовский проспект (3204);37.607965868;55.6639284851;район Зюзино;Метро Нахимовский просп.;А908
4253;«Севастопольский просп.», Нахимовский проспект (4253);37.58637403;55.66938972;район Котловка;Севастопольский просп.;А908
3189;«Симферопольский бульв.», Нахимовский проспект (3189);37.61218795;55.66378863;Нагорный район;Симферопольский бульв.;А908
3190;«Метро Нахимовский просп.», Нахимовский проспект (3190);37.60664668;55.66434868;Нагорный район;Метро Нахимовский просп.;А908
3198;«Метро Профсоюзная», Нахимовский проспект (3198);37.56451171;55.67706246;район Черёмушки;Метро Профсоюзная;А908
3205;«Симферопольский бульв.», Нахимовский проспект (3205);37.61219052;55.66341836;район Зюзино;Симферопольский бульв.;А908
3194;«Севастопольский просп.», Нахимовский проспект (3194);37.58331826;55.67133834;район Котловка;Севастопольский просп.;А908
2233;«Метро Филевский парк», площадь Московско-Минской Дивизии (2233);37.48359101;55.74040022;район Филёвский Парк;Метро Филевский парк;А908
6431;«Метро Каширская», Каширское шоссе (6431);37.64734135;55.65547716;район Москворечье-Сабурово;Метро Каширская;А908
16011;«Метро Каширская (к/ст)», улица Маршала Шестопалова (16011);37.64288125;55.65209359;район Москворечье-Сабурово;Метро Каширская (к/ст);А908
2252;«Пл. Ромена Роллана», Минская улица (2252);37.48496288;55.73803277;район Филёвский Парк;Пл. Ромена Роллана;А908
2235;«Пл. Ромена Роллана», Минская улица (2235);37.4865632;55.73572431;район Фили-Давыдково;Пл. Ромена Роллана;А908
1673;«Метро Филевский парк», Минская улица (1673);37.48381328;55.73925084;район Филёвский Парк;Метро Филевский парк;А908
6458;«Метро Каширская», Каширское шоссе (6458);37.64757895;55.65586285;район Нагатино-Садовники;Метро Каширская;А908
5557;«Метро Ломоносовский проспект», Ломоносовский проспект (5557);37.5124712;55.7070186;район Раменки;Метро Ломоносовский проспект;А908
4899;«Метро Профсоюзная», Нахимовский проспект (4899);37.56182981;55.67896287;Академический район;Метро Профсоюзная;А908
16127;«Метро Профсоюзная», Нахимовский проспект (16127);37.56105363;55.6784635;район Черёмушки;Метро Профсоюзная;А908
1001532;«Метро Саларьево (пос.)», Саларьевская улица (1001532);37.42491901;55.62156199;поселение Московский;Метро Саларьево (пос.);А911
1009185;«Саларьево», Киевское шоссе (1009185);37.42046002;55.62593887;поселение Московский;Саларьево;А911
1009186;«Саларьево», Киевское шоссе (1009186);37.41821436;55.62608796;поселение Московский;Саларьево;А911
4324;«Ивановское (выс.)», Саянская улица (4324);37.83834507;55.76762125;район Ивановское;Ивановское (выс.);А917к
7085;«Ул. Улофа Пальме», улица Улофа Пальме (7085);37.51661724;55.71691882;район Раменки;Ул. Улофа Пальме;А91К
7086;«Гимназия», улица Довженко (7086);37.51287444;55.72032597;район Раменки;Гимназия;А91К
7089;«Ул. Довженко, 6», улица Довженко (7089);37.51353625;55.72096191;район Раменки;Ул. Довженко, 6;А91К
7090;«Гимназия», улица Довженко (7090);37.51166121;55.71991936;район Раменки;Гимназия;А91К
9823;«Ул. Довженко, 6», улица Довженко (9823);37.51471611;55.72138782;район Раменки;Ул. Довженко, 6;А91К
1000166;«Ул. Довженко (выс.)», улица Довженко (1000166);37.5175283626;55.7230119301;район Раменки;Ул. Довженко (выс.);А91К
1000167;«Ул. Довженко (пос.)», улица Довженко (1000167);37.5168966747;55.722891172;район Раменки;Ул. Довженко (пос.);А91К
5688;«Платф. Моссельмаш (выс.)», улица Ивана Сусанина (5688);37.52832331;55.86396309;район Западное Дегунино;Платф. Моссельмаш (выс.);А92
1908;«Протезный з-д», улица Ивана Сусанина (1908);37.52844164;55.87220277;район Западное Дегунино;Протезный з-д;А92
1909;«Ул. Ивана Сусанина, 6», улица Ивана Сусанина (1909);37.52647314;55.86870868;район Западное Дегунино;Ул. Ивана Сусанина, 6;А92
1910;«Детская обл. б-ца», улица Ивана Сусанина (1910);37.52511651;55.86744198;район Западное Дегунино;Детская обл. б-ца;А92
1911;«Детская обл. б-ца», улица Ивана Сусанина (1911);37.52507589;55.86714984;район Западное Дегунино;Детская обл. б-ца;А92
1912;«Ул. Ивана Сусанина, 6», улица Ивана Сусанина (1912);37.52702441;55.86915532;район Западное Дегунино;Ул. Ивана Сусанина, 6;А92
5689;«Платф. Моссельмаш (пос.)», улица Ивана Сусанина (5689);37.52888733;55.86391785;район Западное Дегунино;Платф. Моссельмаш (пос.);А92
4760;«15-я гор. б-ца», Реутовская улица (4760);37.83115973;55.73210046;район Вешняки;15-я гор. б-ца;А926к
4761;«Реутовская ул., 22», Реутовская улица (4761);37.83801045;55.73372735;район Вешняки;Реутовская ул., 22;А926к
4762;«Реутовская ул., 16», Реутовская улица (4762);37.83837213;55.73669397;район Вешняки;Реутовская ул., 16;А926к
4763;«Реутовская ул., 6», Реутовская улица (4763);37.83664942;55.74096658;район Вешняки;Реутовская ул., 6;А926к
10743;«Реутовская ул., 24», Реутовская улица (10743);37.83497076;55.73196969;район Вешняки;Реутовская ул., 24;А926к
1002818;«Метро Алтуфьево», улица Лескова (1002818);37.58952199;55.89797384;район Бибирево;Метро Алтуфьево;А928
2501;«Комбинат Лира - Пенсионный фонд», улица Лётчика Бабушкина (2501);37.67154627;55.85127649;Бабушкинский район;Комбинат Лира - Пенсионный фонд;А93
